"n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","Python","R","n_batches"
2000,500,"adam",20,16,"cpu",FALSE,100,1,2.61805725097656,12.5902473926544,2500
2000,500,"adam",20,16,"cpu",FALSE,100,10,8.39944577217102,52.693939447403,2500
2000,500,"adam",20,16,"cpu",FALSE,100,20,14.9270858764648,98.9564743041992,2500
2000,500,"adam",20,16,"cpu",FALSE,1000,1,3.19242334365845,17.3228042125702,2500
2000,500,"adam",20,16,"cpu",FALSE,1000,10,74.1224064826965,144.201540708542,2500
2000,500,"adam",20,16,"cpu",FALSE,1000,20,148.768236875534,299.34495472908,2500
2000,500,"adam",20,16,"cpu",TRUE,100,1,2.70428085327148,12.5942099094391,2500
2000,500,"adam",20,16,"cpu",TRUE,100,10,8.37993693351746,49.5621018409729,2500
2000,500,"adam",20,16,"cpu",TRUE,100,20,14.8737287521362,91.8442120552063,2500
2000,500,"adam",20,16,"cpu",TRUE,1000,1,3.26846265792847,18.4187612533569,2500
2000,500,"adam",20,16,"cpu",TRUE,1000,10,80.8765804767609,418.614998579025,2500
2000,500,"adam",20,16,"cpu",TRUE,1000,20,149.630295276642,587.293853521347,2500
2000,500,"adam",20,16,"cuda",FALSE,100,1,1.95796728134155,12.1042501926422,2500
2000,500,"adam",20,16,"cuda",FALSE,100,10,4.86307907104492,43.8087577819824,2500
2000,500,"adam",20,16,"cuda",FALSE,100,20,8.07063388824463,84.9323809146881,2500
2000,500,"adam",20,16,"cuda",FALSE,1000,1,2.06216812133789,10.7155089378357,2500
2000,500,"adam",20,16,"cuda",FALSE,1000,10,5.59774374961853,51.0544259548187,2500
2000,500,"adam",20,16,"cuda",FALSE,1000,20,12.5823938846588,86.9190540313721,2500
2000,500,"adam",20,16,"cuda",TRUE,100,1,1.94387531280518,10.6496982574463,2500
2000,500,"adam",20,16,"cuda",TRUE,100,10,4.39618062973022,40.9384515285492,2500
2000,500,"adam",20,16,"cuda",TRUE,100,20,7.48225951194763,74.613655090332,2500
2000,500,"adam",20,16,"cuda",TRUE,1000,1,2.05789041519165,10.6938796043396,2500
2000,500,"adam",20,16,"cuda",TRUE,1000,10,5.57429361343384,44.2205142974854,2500
2000,500,"adam",20,16,"cuda",TRUE,1000,20,12.5452673435211,75.834076166153,2500
2000,500,"adam",20,256,"cpu",FALSE,100,1,0.440680742263794,1.14638066291809,160
2000,500,"adam",20,256,"cpu",FALSE,100,10,0.93541693687439,4.03266859054565,160
2000,500,"adam",20,256,"cpu",FALSE,100,20,1.47699570655823,7.61794185638428,160
2000,500,"adam",20,256,"cpu",FALSE,1000,1,0.501029014587402,1.92047524452209,160
2000,500,"adam",20,256,"cpu",FALSE,1000,10,5.11336874961853,14.7092280387878,160
2000,500,"adam",20,256,"cpu",FALSE,1000,20,9.91194558143616,32.266327381134,160
2000,500,"adam",20,256,"cpu",TRUE,100,1,0.429988861083984,1.47100782394409,160
2000,500,"adam",20,256,"cpu",TRUE,100,10,1.00409626960754,4.98167204856873,160
2000,500,"adam",20,256,"cpu",TRUE,100,20,1.36808514595032,9.19677329063416,160
2000,500,"adam",20,256,"cpu",TRUE,1000,1,0.505985021591187,2.19701886177063,160
2000,500,"adam",20,256,"cpu",TRUE,1000,10,5.03563141822815,31.7014434337616,160
2000,500,"adam",20,256,"cpu",TRUE,1000,20,9.73239374160767,48.82248878479,160
2000,500,"adam",20,256,"cuda",FALSE,100,1,0.350113391876221,0.768740177154541,160
2000,500,"adam",20,256,"cuda",FALSE,100,10,0.53372597694397,3.00618886947632,160
2000,500,"adam",20,256,"cuda",FALSE,100,20,0.739291906356812,5.47014188766479,160
2000,500,"adam",20,256,"cuda",FALSE,1000,1,0.436774253845215,0.766085863113403,160
2000,500,"adam",20,256,"cuda",FALSE,1000,10,0.539250612258911,2.9610812664032,160
2000,500,"adam",20,256,"cuda",FALSE,1000,20,1.07623791694641,5.77486801147461,160
2000,500,"adam",20,256,"cuda",TRUE,100,1,0.351017236709595,1.25494194030762,160
2000,500,"adam",20,256,"cuda",TRUE,100,10,0.516043901443481,3.34171533584595,160
2000,500,"adam",20,256,"cuda",TRUE,100,20,0.708304166793823,5.65758442878723,160
2000,500,"adam",20,256,"cuda",TRUE,1000,1,0.420259475708008,1.1938841342926,160
2000,500,"adam",20,256,"cuda",TRUE,1000,10,0.521547555923462,3.17044687271118,160
2000,500,"adam",20,256,"cuda",TRUE,1000,20,1.08178639411926,5.6596212387085,160
2000,500,"adam",20,512,"cpu",FALSE,100,1,0.33518123626709,0.674386978149414,80
2000,500,"adam",20,512,"cpu",FALSE,100,10,0.731861352920532,2.3943395614624,80
2000,500,"adam",20,512,"cpu",FALSE,100,20,0.970980644226074,4.22972917556763,80
2000,500,"adam",20,512,"cpu",FALSE,1000,1,0.402265310287476,1.12439179420471,80
2000,500,"adam",20,512,"cpu",FALSE,1000,10,3.58906841278076,11.5991969108582,80
2000,500,"adam",20,512,"cpu",FALSE,1000,20,7.26771950721741,19.8085012435913,80
2000,500,"adam",20,512,"cpu",TRUE,100,1,0.329776048660278,0.780844211578369,80
2000,500,"adam",20,512,"cpu",TRUE,100,10,0.633146047592163,2.90961408615112,80
2000,500,"adam",20,512,"cpu",TRUE,100,20,1.06777143478394,5.43046951293945,80
2000,500,"adam",20,512,"cpu",TRUE,1000,1,0.406638622283936,1.16935467720032,80
2000,500,"adam",20,512,"cpu",TRUE,1000,10,3.6193151473999,14.2103004455566,80
2000,500,"adam",20,512,"cpu",TRUE,1000,20,7.11109828948975,28.4039180278778,80
2000,500,"adam",20,512,"cuda",FALSE,100,1,0.355393886566162,0.444513082504272,80
2000,500,"adam",20,512,"cuda",FALSE,100,10,0.370159149169922,1.52168536186218,80
2000,500,"adam",20,512,"cuda",FALSE,100,20,0.4748375415802,3.02241992950439,80
2000,500,"adam",20,512,"cuda",FALSE,1000,1,0.276967287063599,0.468949317932129,80
2000,500,"adam",20,512,"cuda",FALSE,1000,10,0.451584577560425,1.56535935401917,80
2000,500,"adam",20,512,"cuda",FALSE,1000,20,0.703722238540649,3.20336413383484,80
2000,500,"adam",20,512,"cuda",TRUE,100,1,0.28347635269165,0.897976160049438,80
2000,500,"adam",20,512,"cuda",TRUE,100,10,0.358542442321777,2.01550436019897,80
2000,500,"adam",20,512,"cuda",TRUE,100,20,0.462174415588379,3.18297672271729,80
2000,500,"adam",20,512,"cuda",TRUE,1000,1,0.353959083557129,0.862170696258545,80
2000,500,"adam",20,512,"cuda",TRUE,1000,10,0.364870548248291,1.92595338821411,80
2000,500,"adam",20,512,"cuda",TRUE,1000,20,0.707636117935181,3.22189164161682,80
2000,500,"adam",40,16,"cpu",FALSE,100,1,5.2568211555481,25.1057705879211,5000
2000,500,"adam",40,16,"cpu",FALSE,100,10,17.2725739479065,112.102654218674,5000
2000,500,"adam",40,16,"cpu",FALSE,100,20,31.6738331317902,200.849876880646,5000
2000,500,"adam",40,16,"cpu",FALSE,1000,1,6.30706477165222,33.2729341983795,5000
2000,500,"adam",40,16,"cpu",FALSE,1000,10,105.569290161133,291.019638776779,5000
2000,500,"adam",40,16,"cpu",FALSE,1000,20,206.975694417953,598.206850767136,5000
2000,500,"adam",40,16,"cpu",TRUE,100,1,5.26713514328003,24.8385133743286,5000
2000,500,"adam",40,16,"cpu",TRUE,100,10,16.9499950408936,96.8277397155762,5000
2000,500,"adam",40,16,"cpu",TRUE,100,20,30.5915083885193,182.428091526031,5000
2000,500,"adam",40,16,"cpu",TRUE,1000,1,6.29638457298279,34.8841698169708,5000
2000,500,"adam",40,16,"cpu",TRUE,1000,10,111.108836650848,788.276780366898,5000
2000,500,"adam",40,16,"cpu",TRUE,1000,20,217.719974040985,1233.83905410767,5000
2000,500,"adam",40,16,"cuda",FALSE,100,1,3.89611625671387,20.7738420963287,5000
2000,500,"adam",40,16,"cuda",FALSE,100,10,9.67671942710876,87.9984352588654,5000
2000,500,"adam",40,16,"cuda",FALSE,100,20,16.0077333450317,168.503837108612,5000
2000,500,"adam",40,16,"cuda",FALSE,1000,1,4.10843372344971,21.078230381012,5000
2000,500,"adam",40,16,"cuda",FALSE,1000,10,11.2018041610718,90.550785779953,5000
2000,500,"adam",40,16,"cuda",FALSE,1000,20,25.1912713050842,173.566473484039,5000
2000,500,"adam",40,16,"cuda",TRUE,100,1,3.90541481971741,20.9310133457184,5000
2000,500,"adam",40,16,"cuda",TRUE,100,10,8.81157374382019,81.0395562648773,5000
2000,500,"adam",40,16,"cuda",TRUE,100,20,15.1016068458557,148.303218841553,5000
2000,500,"adam",40,16,"cuda",TRUE,1000,1,4.11480259895325,21.183566570282,5000
2000,500,"adam",40,16,"cuda",TRUE,1000,10,11.1846315860748,80.3380219936371,5000
2000,500,"adam",40,16,"cuda",TRUE,1000,20,25.1645514965057,152.23872923851,5000
2000,500,"adam",40,256,"cpu",FALSE,100,1,0.841844797134399,1.96733164787292,320
2000,500,"adam",40,256,"cpu",FALSE,100,10,1.92148566246033,7.88574004173279,320
2000,500,"adam",40,256,"cpu",FALSE,100,20,2.914217710495,14.5010004043579,320
2000,500,"adam",40,256,"cpu",FALSE,1000,1,0.977519035339355,3.45216917991638,320
2000,500,"adam",40,256,"cpu",FALSE,1000,10,10.3439996242523,30.7652015686035,320
2000,500,"adam",40,256,"cpu",FALSE,1000,20,20.0548603534698,64.1090624332428,320
2000,500,"adam",40,256,"cpu",TRUE,100,1,0.93465781211853,2.25227117538452,320
2000,500,"adam",40,256,"cpu",TRUE,100,10,1.91930770874023,8.63221406936646,320
2000,500,"adam",40,256,"cpu",TRUE,100,20,2.7668936252594,15.9911336898804,320
2000,500,"adam",40,256,"cpu",TRUE,1000,1,1.00690937042236,4.13890790939331,320
2000,500,"adam",40,256,"cpu",TRUE,1000,10,10.3852932453156,61.2160692214966,320
2000,500,"adam",40,256,"cpu",TRUE,1000,20,20.7730348110199,96.114025592804,320
2000,500,"adam",40,256,"cuda",FALSE,100,1,0.695958137512207,1.43074560165405,320
2000,500,"adam",40,256,"cuda",FALSE,100,10,1.14124989509583,5.96971321105957,320
2000,500,"adam",40,256,"cuda",FALSE,100,20,1.48907279968262,10.7681534290314,320
2000,500,"adam",40,256,"cuda",FALSE,1000,1,0.695138454437256,1.44860315322876,320
2000,500,"adam",40,256,"cuda",FALSE,1000,10,1.14657211303711,6.06947779655457,320
2000,500,"adam",40,256,"cuda",FALSE,1000,20,2.19667148590088,10.591334104538,320
2000,500,"adam",40,256,"cuda",TRUE,100,1,0.703587293624878,1.93254470825195,320
2000,500,"adam",40,256,"cuda",TRUE,100,10,1.11125922203064,6.00592541694641,320
2000,500,"adam",40,256,"cuda",TRUE,100,20,1.42133283615112,10.4066505432129,320
2000,500,"adam",40,256,"cuda",TRUE,1000,1,0.697646617889404,1.84832453727722,320
2000,500,"adam",40,256,"cuda",TRUE,1000,10,1.11554884910583,5.77213335037231,320
2000,500,"adam",40,256,"cuda",TRUE,1000,20,2.20008993148804,10.3728852272034,320
