n,p,epochs,batch_size,device,jit,latent,n_layers,time
2000,100,20,16,cpu,True,100,1,2.081057548522949
2000,100,20,16,cpu,True,100,3,3.1973378658294678
2000,100,20,16,cpu,True,100,5,4.330683469772339
2000,100,20,16,cpu,True,500,1,2.5486552715301514
2000,100,20,16,cpu,True,500,3,7.958436489105225
2000,100,20,16,cpu,True,500,5,13.949212551116943
2000,100,20,16,cpu,True,1000,1,2.8428473472595215
2000,100,20,16,cpu,True,1000,3,22.121803522109985
2000,100,20,16,cpu,True,1000,5,33.80696082115173
2000,100,20,16,cpu,False,100,1,2.1537342071533203
2000,100,20,16,cpu,False,100,3,3.0540530681610107
2000,100,20,16,cpu,False,100,5,4.268440008163452
2000,100,20,16,cpu,False,500,1,2.46775484085083
2000,100,20,16,cpu,False,500,3,6.160741567611694
2000,100,20,16,cpu,False,500,5,10.409679651260376
2000,100,20,16,cpu,False,1000,1,2.6878461837768555
2000,100,20,16,cpu,False,1000,3,16.398714780807495
2000,100,20,16,cpu,False,1000,5,37.70073747634888
2000,100,20,16,cuda,True,100,1,1.8924839496612549
2000,100,20,16,cuda,True,100,3,2.439964532852173
2000,100,20,16,cuda,True,100,5,2.973087787628174
2000,100,20,16,cuda,True,500,1,1.8937714099884033
2000,100,20,16,cuda,True,500,3,2.59870982170105
2000,100,20,16,cuda,True,500,5,3.1501011848449707
2000,100,20,16,cuda,True,1000,1,1.9088048934936523
2000,100,20,16,cuda,True,1000,3,2.67887282371521
2000,100,20,16,cuda,True,1000,5,3.2580368518829346
2000,100,20,16,cuda,False,100,1,1.9002985954284668
2000,100,20,16,cuda,False,100,3,2.507434606552124
2000,100,20,16,cuda,False,100,5,3.083061456680298
2000,100,20,16,cuda,False,500,1,1.9010298252105713
2000,100,20,16,cuda,False,500,3,2.6617815494537354
2000,100,20,16,cuda,False,500,5,3.278775453567505
2000,100,20,16,cuda,False,1000,1,1.9011430740356445
2000,100,20,16,cuda,False,1000,3,2.727874755859375
2000,100,20,16,cuda,False,1000,5,3.3774943351745605
2000,100,20,128,cpu,True,100,1,0.49461865425109863
2000,100,20,128,cpu,True,100,3,0.6588764190673828
2000,100,20,128,cpu,True,100,5,0.8257780075073242
2000,100,20,128,cpu,True,500,1,0.5910301208496094
2000,100,20,128,cpu,True,500,3,1.0958962440490723
2000,100,20,128,cpu,True,500,5,1.6058292388916016
2000,100,20,128,cpu,True,1000,1,0.5846555233001709
2000,100,20,128,cpu,True,1000,3,1.7458276748657227
2000,100,20,128,cpu,True,1000,5,3.3656997680664062
2000,100,20,128,cpu,False,100,1,0.46674132347106934
2000,100,20,128,cpu,False,100,3,0.6286873817443848
2000,100,20,128,cpu,False,100,5,0.7959401607513428
2000,100,20,128,cpu,False,500,1,0.5560553073883057
2000,100,20,128,cpu,False,500,3,1.086754322052002
2000,100,20,128,cpu,False,500,5,1.6678178310394287
2000,100,20,128,cpu,False,1000,1,0.5763356685638428
2000,100,20,128,cpu,False,1000,3,1.8351860046386719
2000,100,20,128,cpu,False,1000,5,3.525092601776123
2000,100,20,128,cuda,True,100,1,0.4622023105621338
2000,100,20,128,cuda,True,100,3,0.5345582962036133
2000,100,20,128,cuda,True,100,5,0.6051754951477051
2000,100,20,128,cuda,True,500,1,0.476085901260376
2000,100,20,128,cuda,True,500,3,0.5530061721801758
2000,100,20,128,cuda,True,500,5,0.6298890113830566
2000,100,20,128,cuda,True,1000,1,0.4733707904815674
2000,100,20,128,cuda,True,1000,3,0.5629270076751709
2000,100,20,128,cuda,True,1000,5,0.6351494789123535
2000,100,20,128,cuda,False,100,1,0.46948862075805664
2000,100,20,128,cuda,False,100,3,0.543708086013794
2000,100,20,128,cuda,False,100,5,0.6243762969970703
2000,100,20,128,cuda,False,500,1,0.4802670478820801
2000,100,20,128,cuda,False,500,3,0.5696048736572266
2000,100,20,128,cuda,False,500,5,0.6503188610076904
2000,100,20,128,cuda,False,1000,1,0.4768962860107422
2000,100,20,128,cuda,False,1000,3,0.5757167339324951
2000,100,20,128,cuda,False,1000,5,0.6546945571899414
2000,100,20,256,cpu,True,100,1,0.3587532043457031
2000,100,20,256,cpu,True,100,3,0.47348904609680176
2000,100,20,256,cpu,True,100,5,0.5179522037506104
2000,100,20,256,cpu,True,500,1,0.3766446113586426
2000,100,20,256,cpu,True,500,3,0.7114722728729248
2000,100,20,256,cpu,True,500,5,1.1594367027282715
2000,100,20,256,cpu,True,1000,1,0.3981647491455078
2000,100,20,256,cpu,True,1000,3,1.223034381866455
2000,100,20,256,cpu,True,1000,5,2.222472906112671
2000,100,20,256,cpu,False,100,1,0.3388688564300537
2000,100,20,256,cpu,False,100,3,0.4275946617126465
2000,100,20,256,cpu,False,100,5,0.6037290096282959
2000,100,20,256,cpu,False,500,1,0.3789081573486328
2000,100,20,256,cpu,False,500,3,0.6966221332550049
2000,100,20,256,cpu,False,500,5,1.0567703247070312
2000,100,20,256,cpu,False,1000,1,0.4122471809387207
2000,100,20,256,cpu,False,1000,3,1.323192834854126
2000,100,20,256,cpu,False,1000,5,2.2422966957092285
2000,100,20,256,cuda,True,100,1,0.3425469398498535
2000,100,20,256,cuda,True,100,3,0.3779757022857666
2000,100,20,256,cuda,True,100,5,0.41233325004577637
2000,100,20,256,cuda,True,500,1,0.33663415908813477
2000,100,20,256,cuda,True,500,3,0.45389533042907715
2000,100,20,256,cuda,True,500,5,0.41553521156311035
2000,100,20,256,cuda,True,1000,1,0.33819580078125
2000,100,20,256,cuda,True,1000,3,0.3826313018798828
2000,100,20,256,cuda,True,1000,5,0.41635704040527344
2000,100,20,256,cuda,False,100,1,0.3389706611633301
2000,100,20,256,cuda,False,100,3,0.45247602462768555
2000,100,20,256,cuda,False,100,5,0.41921544075012207
2000,100,20,256,cuda,False,500,1,0.3378148078918457
2000,100,20,256,cuda,False,500,3,0.38251352310180664
2000,100,20,256,cuda,False,500,5,0.4206850528717041
2000,100,20,256,cuda,False,1000,1,0.338137149810791
2000,100,20,256,cuda,False,1000,3,0.45136141777038574
2000,100,20,256,cuda,False,1000,5,0.42174410820007324
2000,250,20,16,cpu,True,100,1,2.3006441593170166
2000,250,20,16,cpu,True,100,3,3.2168142795562744
2000,250,20,16,cpu,True,100,5,4.383260250091553
2000,250,20,16,cpu,True,500,1,2.8067469596862793
2000,250,20,16,cpu,True,500,3,6.27519416809082
2000,250,20,16,cpu,True,500,5,10.617610216140747
2000,250,20,16,cpu,True,1000,1,2.991252899169922
2000,250,20,16,cpu,True,1000,3,10.760658264160156
2000,250,20,16,cpu,True,1000,5,21.908704042434692
2000,250,20,16,cpu,False,100,1,2.314070701599121
2000,250,20,16,cpu,False,100,3,3.3099303245544434
2000,250,20,16,cpu,False,100,5,4.547982215881348
2000,250,20,16,cpu,False,500,1,2.7104718685150146
2000,250,20,16,cpu,False,500,3,6.422887086868286
2000,250,20,16,cpu,False,500,5,10.719242811203003
2000,250,20,16,cpu,False,1000,1,2.894629716873169
2000,250,20,16,cpu,False,1000,3,10.733176469802856
2000,250,20,16,cpu,False,1000,5,22.050157070159912
2000,250,20,16,cuda,True,100,1,1.9906673431396484
2000,250,20,16,cuda,True,100,3,2.714489698410034
2000,250,20,16,cuda,True,100,5,3.38431715965271
2000,250,20,16,cuda,True,500,1,2.053333044052124
2000,250,20,16,cuda,True,500,3,2.8635330200195312
2000,250,20,16,cuda,True,500,5,3.5101089477539062
2000,250,20,16,cuda,True,1000,1,2.1487679481506348
2000,250,20,16,cuda,True,1000,3,2.9528121948242188
2000,250,20,16,cuda,True,1000,5,3.649055004119873
2000,250,20,16,cuda,False,100,1,2.0548880100250244
2000,250,20,16,cuda,False,100,3,2.7912657260894775
2000,250,20,16,cuda,False,100,5,3.486971378326416
2000,250,20,16,cuda,False,500,1,2.0544629096984863
2000,250,20,16,cuda,False,500,3,2.9323482513427734
2000,250,20,16,cuda,False,500,5,3.639915704727173
2000,250,20,16,cuda,False,1000,1,2.1547441482543945
2000,250,20,16,cuda,False,1000,3,3.006713628768921
2000,250,20,16,cuda,False,1000,5,3.772740602493286
2000,250,20,128,cpu,True,100,1,0.49720072746276855
2000,250,20,128,cpu,True,100,3,0.6960792541503906
2000,250,20,128,cpu,True,100,5,0.8523178100585938
2000,250,20,128,cpu,True,500,1,0.6259019374847412
2000,250,20,128,cpu,True,500,3,1.211775302886963
2000,250,20,128,cpu,True,500,5,1.7591164112091064
2000,250,20,128,cpu,True,1000,1,0.6273500919342041
2000,250,20,128,cpu,True,1000,3,1.8230516910552979
2000,250,20,128,cpu,True,1000,5,3.3097481727600098
2000,250,20,128,cpu,False,100,1,0.4939999580383301
2000,250,20,128,cpu,False,100,3,0.6472971439361572
2000,250,20,128,cpu,False,100,5,0.8231749534606934
2000,250,20,128,cpu,False,500,1,0.5848636627197266
2000,250,20,128,cpu,False,500,3,1.1437385082244873
2000,250,20,128,cpu,False,500,5,1.744145154953003
2000,250,20,128,cpu,False,1000,1,0.6237945556640625
2000,250,20,128,cpu,False,1000,3,1.8922109603881836
2000,250,20,128,cpu,False,1000,5,3.4960780143737793
2000,250,20,128,cuda,True,100,1,0.4983673095703125
2000,250,20,128,cuda,True,100,3,0.5769298076629639
