n,p,optimizer,epochs,batch_size,device,jit,latent,n_layers,time
2000,500,adam,20,16,cpu,True,100,1,3.1340019702911377
2000,500,adam,20,16,cpu,True,100,10,10.367347478866577
2000,500,adam,20,16,cpu,True,100,20,18.690834045410156
2000,500,adam,20,16,cpu,True,1000,1,3.8565738201141357
2000,500,adam,20,16,cpu,True,1000,10,81.01322650909424
2000,500,adam,20,16,cpu,True,1000,20,153.25193524360657
2000,500,adam,20,16,cpu,False,100,1,2.5342862606048584
2000,500,adam,20,16,cpu,False,100,10,8.036454677581787
2000,500,adam,20,16,cpu,False,100,20,14.501301527023315
2000,500,adam,20,16,cpu,False,1000,1,3.247948408126831
2000,500,adam,20,16,cpu,False,1000,10,52.03207755088806
2000,500,adam,20,16,cpu,False,1000,20,163.4559314250946
2000,500,adam,20,16,cuda,True,100,1,1.9324064254760742
2000,500,adam,20,16,cuda,True,100,10,4.339808702468872
2000,500,adam,20,16,cuda,True,100,20,7.481569766998291
2000,500,adam,20,16,cuda,True,1000,1,2.0356979370117188
2000,500,adam,20,16,cuda,True,1000,10,5.588420391082764
2000,500,adam,20,16,cuda,True,1000,20,12.548725366592407
2000,500,adam,20,16,cuda,False,100,1,1.9442510604858398
2000,500,adam,20,16,cuda,False,100,10,4.93441104888916
2000,500,adam,20,16,cuda,False,100,20,7.968906402587891
2000,500,adam,20,16,cuda,False,1000,1,2.0432629585266113
2000,500,adam,20,16,cuda,False,1000,10,5.60831093788147
2000,500,adam,20,16,cuda,False,1000,20,12.569634914398193
2000,500,adam,20,256,cpu,True,100,1,0.4061422348022461
2000,500,adam,20,256,cpu,True,100,10,0.8583800792694092
2000,500,adam,20,256,cpu,True,100,20,1.3700335025787354
2000,500,adam,20,256,cpu,True,1000,1,0.497312068939209
2000,500,adam,20,256,cpu,True,1000,10,5.125463485717773
2000,500,adam,20,256,cpu,True,1000,20,9.59524130821228
2000,500,adam,20,256,cpu,False,100,1,0.4231448173522949
2000,500,adam,20,256,cpu,False,100,10,0.9183304309844971
2000,500,adam,20,256,cpu,False,100,20,1.41752290725708
2000,500,adam,20,256,cpu,False,1000,1,0.4974045753479004
2000,500,adam,20,256,cpu,False,1000,10,5.044291257858276
