"","n","p","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"1",2000,100,20,16,"cpu",TRUE,100,1,FALSE,9.94283962249756
"2",2000,250,20,16,"cpu",TRUE,100,1,FALSE,10.4997351169586
"3",2000,500,20,16,"cpu",TRUE,100,1,FALSE,12.5495367050171
"4",2000,100,20,128,"cpu",TRUE,100,1,FALSE,1.89263653755188
"5",2000,250,20,128,"cpu",TRUE,100,1,FALSE,1.91651201248169
"6",2000,500,20,128,"cpu",TRUE,100,1,FALSE,2.15478801727295
"7",2000,100,20,256,"cpu",TRUE,100,1,FALSE,1.11881804466248
"8",2000,250,20,256,"cpu",TRUE,100,1,FALSE,1.30175352096558
"9",2000,500,20,256,"cpu",TRUE,100,1,FALSE,1.32135772705078
"10",2000,100,20,16,"cuda",TRUE,100,1,FALSE,10.755197763443
"11",2000,250,20,16,"cuda",TRUE,100,1,FALSE,10.7482688426971
"12",2000,500,20,16,"cuda",TRUE,100,1,FALSE,10.8216307163239
"13",2000,100,20,128,"cuda",TRUE,100,1,FALSE,1.84698820114136
"14",2000,250,20,128,"cuda",TRUE,100,1,FALSE,1.87161564826965
"15",2000,500,20,128,"cuda",TRUE,100,1,FALSE,1.86151838302612
"16",2000,100,20,256,"cuda",TRUE,100,1,FALSE,1.23148560523987
"17",2000,250,20,256,"cuda",TRUE,100,1,FALSE,1.22021389007568
"18",2000,500,20,256,"cuda",TRUE,100,1,FALSE,1.24465322494507
"19",2000,100,20,16,"cpu",FALSE,100,1,FALSE,9.76985645294189
"20",2000,250,20,16,"cpu",FALSE,100,1,FALSE,10.8641209602356
"21",2000,500,20,16,"cpu",FALSE,100,1,FALSE,12.650160074234
"22",2000,100,20,128,"cpu",FALSE,100,1,FALSE,1.51721930503845
"23",2000,250,20,128,"cpu",FALSE,100,1,FALSE,1.77099323272705
"24",2000,500,20,128,"cpu",FALSE,100,1,FALSE,1.85191988945007
"25",2000,100,20,256,"cpu",FALSE,100,1,FALSE,0.908712863922119
"26",2000,250,20,256,"cpu",FALSE,100,1,FALSE,0.956601619720459
"27",2000,500,20,256,"cpu",FALSE,100,1,FALSE,1.07637119293213
"28",2000,100,20,16,"cuda",FALSE,100,1,FALSE,10.5045011043549
"29",2000,250,20,16,"cuda",FALSE,100,1,FALSE,10.3343336582184
"30",2000,500,20,16,"cuda",FALSE,100,1,FALSE,10.3550264835358
"31",2000,100,20,128,"cuda",FALSE,100,1,FALSE,1.40220594406128
"32",2000,250,20,128,"cuda",FALSE,100,1,FALSE,1.41859340667725
"33",2000,500,20,128,"cuda",FALSE,100,1,FALSE,1.43932628631592
"34",2000,100,20,256,"cuda",FALSE,100,1,FALSE,0.742758750915527
"35",2000,250,20,256,"cuda",FALSE,100,1,FALSE,0.756371259689331
"36",2000,500,20,256,"cuda",FALSE,100,1,FALSE,0.756777048110962
"37",2000,100,20,16,"cpu",TRUE,500,1,FALSE,12.2970340251923
"38",2000,250,20,16,"cpu",TRUE,500,1,FALSE,13.689569234848
"39",2000,500,20,16,"cpu",TRUE,500,1,FALSE,14.5212697982788
"40",2000,100,20,128,"cpu",TRUE,500,1,FALSE,2.09004974365234
"41",2000,250,20,128,"cpu",TRUE,500,1,FALSE,2.20615315437317
"42",2000,500,20,128,"cpu",TRUE,500,1,FALSE,2.4026734828949
"43",2000,100,20,256,"cpu",TRUE,500,1,FALSE,1.26094484329224
"44",2000,250,20,256,"cpu",TRUE,500,1,FALSE,1.29708766937256
"45",2000,500,20,256,"cpu",TRUE,500,1,FALSE,1.46611714363098
"46",2000,100,20,16,"cuda",TRUE,500,1,FALSE,10.5356147289276
"47",2000,250,20,16,"cuda",TRUE,500,1,FALSE,10.7778549194336
"48",2000,500,20,16,"cuda",TRUE,500,1,FALSE,10.796243429184
"49",2000,100,20,128,"cuda",TRUE,500,1,FALSE,1.84529089927673
"50",2000,250,20,128,"cuda",TRUE,500,1,FALSE,1.82431864738464
"51",2000,500,20,128,"cuda",TRUE,500,1,FALSE,2.12259078025818
"52",2000,100,20,256,"cuda",TRUE,500,1,FALSE,1.20857715606689
"53",2000,250,20,256,"cuda",TRUE,500,1,FALSE,1.36075925827026
"54",2000,500,20,256,"cuda",TRUE,500,1,FALSE,1.20568633079529
"55",2000,100,20,16,"cpu",FALSE,500,1,FALSE,12.4963462352753
"56",2000,250,20,16,"cpu",FALSE,500,1,FALSE,14.6714689731598
"57",2000,500,20,16,"cpu",FALSE,500,1,FALSE,14.1878564357758
"58",2000,100,20,128,"cpu",FALSE,500,1,FALSE,1.96918225288391
"59",2000,250,20,128,"cpu",FALSE,500,1,FALSE,2.0880401134491
"60",2000,500,20,128,"cpu",FALSE,500,1,FALSE,2.34023070335388
"61",2000,100,20,256,"cpu",FALSE,500,1,FALSE,1.13362741470337
"62",2000,250,20,256,"cpu",FALSE,500,1,FALSE,1.17818903923035
"63",2000,500,20,256,"cpu",FALSE,500,1,FALSE,1.43778228759766
"64",2000,100,20,16,"cuda",FALSE,500,1,FALSE,10.2843644618988
"65",2000,250,20,16,"cuda",FALSE,500,1,FALSE,10.4485051631927
"66",2000,500,20,16,"cuda",FALSE,500,1,FALSE,10.5689606666565
"67",2000,100,20,128,"cuda",FALSE,500,1,FALSE,1.41678023338318
"68",2000,250,20,128,"cuda",FALSE,500,1,FALSE,1.44019746780396
"69",2000,500,20,128,"cuda",FALSE,500,1,FALSE,1.45585751533508
"70",2000,100,20,256,"cuda",FALSE,500,1,FALSE,0.750460624694824
"71",2000,250,20,256,"cuda",FALSE,500,1,FALSE,0.786652565002441
"72",2000,500,20,256,"cuda",FALSE,500,1,FALSE,0.768759250640869
"73",2000,100,20,16,"cpu",TRUE,1000,1,FALSE,13.5624656677246
"74",2000,250,20,16,"cpu",TRUE,1000,1,FALSE,14.7541644573212
"75",2000,500,20,16,"cpu",TRUE,1000,1,FALSE,18.3028433322906
"76",2000,100,20,128,"cpu",TRUE,1000,1,FALSE,2.23429465293884
"77",2000,250,20,128,"cpu",TRUE,1000,1,FALSE,2.41472244262695
"78",2000,500,20,128,"cpu",TRUE,1000,1,FALSE,3.43719339370728
"79",2000,100,20,256,"cpu",TRUE,1000,1,FALSE,1.35930681228638
"80",2000,250,20,256,"cpu",TRUE,1000,1,FALSE,1.44569659233093
"81",2000,500,20,256,"cpu",TRUE,1000,1,FALSE,2.13680863380432
"82",2000,100,20,16,"cuda",TRUE,1000,1,FALSE,10.5918209552765
"83",2000,250,20,16,"cuda",TRUE,1000,1,FALSE,10.5588278770447
"84",2000,500,20,16,"cuda",TRUE,1000,1,FALSE,10.6618916988373
"85",2000,100,20,128,"cuda",TRUE,1000,1,FALSE,1.8288414478302
"86",2000,250,20,128,"cuda",TRUE,1000,1,FALSE,1.84426927566528
"87",2000,500,20,128,"cuda",TRUE,1000,1,FALSE,1.8300633430481
"88",2000,100,20,256,"cuda",TRUE,1000,1,FALSE,1.18521237373352
"89",2000,250,20,256,"cuda",TRUE,1000,1,FALSE,1.17702198028564
"90",2000,500,20,256,"cuda",TRUE,1000,1,FALSE,1.16691660881042
"91",2000,100,20,16,"cpu",FALSE,1000,1,FALSE,13.795506477356
"92",2000,250,20,16,"cpu",FALSE,1000,1,FALSE,14.7918434143066
"93",2000,500,20,16,"cpu",FALSE,1000,1,FALSE,16.6694774627686
"94",2000,100,20,128,"cpu",FALSE,1000,1,FALSE,2.11557841300964
"95",2000,250,20,128,"cpu",FALSE,1000,1,FALSE,2.37450909614563
"96",2000,500,20,128,"cpu",FALSE,1000,1,FALSE,3.63120603561401
"97",2000,100,20,256,"cpu",FALSE,1000,1,FALSE,1.41543555259705
"98",2000,250,20,256,"cpu",FALSE,1000,1,FALSE,1.3694429397583
"99",2000,500,20,256,"cpu",FALSE,1000,1,FALSE,1.91347169876099
"100",2000,100,20,16,"cuda",FALSE,1000,1,FALSE,12.0847897529602
"101",2000,250,20,16,"cuda",FALSE,1000,1,FALSE,10.3779721260071
"102",2000,500,20,16,"cuda",FALSE,1000,1,FALSE,12.1626341342926
"103",2000,100,20,128,"cuda",FALSE,1000,1,FALSE,1.41966342926025
"104",2000,250,20,128,"cuda",FALSE,1000,1,FALSE,1.42972707748413
"105",2000,500,20,128,"cuda",FALSE,1000,1,FALSE,1.66703271865845
"106",2000,100,20,256,"cuda",FALSE,1000,1,FALSE,0.753085374832153
"107",2000,250,20,256,"cuda",FALSE,1000,1,FALSE,0.772802114486694
