"","n","p","optimizer","epochs","batch_size","device","jit","latent","n_layers","init_max_memory","time"
"1",2000,500,"adam",20,16,"cpu",TRUE,100,1,FALSE,12.5942099094391
"2",2000,500,"sgd",20,16,"cpu",TRUE,100,1,FALSE,6.13556742668152
"3",2000,500,"adam",40,16,"cpu",TRUE,100,1,FALSE,24.8385133743286
"4",2000,500,"sgd",40,16,"cpu",TRUE,100,1,FALSE,11.6115567684174
"5",2000,500,"adam",20,256,"cpu",TRUE,100,1,FALSE,1.47100782394409
"6",2000,500,"sgd",20,256,"cpu",TRUE,100,1,FALSE,0.854296922683716
"7",2000,500,"adam",40,256,"cpu",TRUE,100,1,FALSE,2.25227117538452
"8",2000,500,"sgd",40,256,"cpu",TRUE,100,1,FALSE,1.25878357887268
"9",2000,500,"adam",20,512,"cpu",TRUE,100,1,FALSE,0.780844211578369
"10",2000,500,"sgd",20,512,"cpu",TRUE,100,1,FALSE,0.547776699066162
"11",2000,500,"adam",40,512,"cpu",TRUE,100,1,FALSE,1.31179761886597
"12",2000,500,"sgd",40,512,"cpu",TRUE,100,1,FALSE,0.80917763710022
"13",2000,500,"adam",20,16,"cuda",TRUE,100,1,FALSE,10.6496982574463
"14",2000,500,"sgd",20,16,"cuda",TRUE,100,1,FALSE,5.55959677696228
"15",2000,500,"adam",40,16,"cuda",TRUE,100,1,FALSE,20.9310133457184
"16",2000,500,"sgd",40,16,"cuda",TRUE,100,1,FALSE,10.6341979503632
"17",2000,500,"adam",20,256,"cuda",TRUE,100,1,FALSE,1.25494194030762
"18",2000,500,"sgd",20,256,"cuda",TRUE,100,1,FALSE,0.874873638153076
"19",2000,500,"adam",40,256,"cuda",TRUE,100,1,FALSE,1.93254470825195
"20",2000,500,"sgd",40,256,"cuda",TRUE,100,1,FALSE,1.22541737556458
"21",2000,500,"adam",20,512,"cuda",TRUE,100,1,FALSE,0.897976160049438
"22",2000,500,"sgd",20,512,"cuda",TRUE,100,1,FALSE,0.721840620040894
"23",2000,500,"adam",40,512,"cuda",TRUE,100,1,FALSE,1.23699069023132
"24",2000,500,"sgd",40,512,"cuda",TRUE,100,1,FALSE,0.908191680908203
"25",2000,500,"adam",20,16,"cpu",FALSE,100,1,FALSE,12.5902473926544
"26",2000,500,"sgd",20,16,"cpu",FALSE,100,1,FALSE,5.95665097236633
"27",2000,500,"adam",40,16,"cpu",FALSE,100,1,FALSE,25.1057705879211
"28",2000,500,"sgd",40,16,"cpu",FALSE,100,1,FALSE,11.6025424003601
